date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/us/politics/amazon-apple-facebook-google-lobbying.html,Tech Giants Amass a Lobbying Army for an Epic Washington Battle,2019/06/06,us
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/health/navajo-children-custody-fight.html,Who Can Adopt a Native American Child? A Texas Couple vs. 573 Tribes,2019/06/06,health
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/business/china-richard-liu-rape-video-metoo.html,"In China, a Viral Video Sets Off a Challenge to Rape Culture",2019/06/06,business
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/business/fiat-renault-merger-withdrawn.html,Fiat Chrysler Withdraws Its Offer for Renault,2019/06/06,business
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/world/australia/journalist-raids.html,Australia May Well Be the World’s Most Secretive Democracy,2019/06/06,world
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/world/asia/thailand-prayuth-prime-minister.html,Thailand Junta Leader Named Prime Minister After Contentious Vote,2019/06/06,world
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/nyregion/ice-cream-trucks-seized-nyc.html,34 Ice Cream Trucks Towed in Midtown ‘Operation Meltdown’,2019/06/06,nyregion
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/us/parkland-police-bravery-coward.html,We Expect Police to Be Brave For Us. But What Happens When They’re Not?,2019/06/06,us
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/us/ohio-doctor-murder-fentanyl-overdose.html,Ohio Doctor Charged With Killing 25 Patients in Fentanyl Overdoses,2019/06/06,us
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/05/arts/music/bob-dylan-rolling-thunder-revue.html,Bob Dylan’s Glam Hootenanny: Returning to Rolling Thunder,2019/06/06,arts
https://www.nytimes.com/issue/todayspaper/2019/06/06/todays-new-york-times,/2019/06/04/sports/french-open-roland-garros.html,Finding an Oasis at Tennis’s Most Crowded Major,2019/06/06,sports
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/climate/trump-auto-emissions-rollback-letter.html,Automakers Tell Trump His Pollution Rules Could Mean ‘Untenable’ Instability and Lower Profits,2019/06/07,climate
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/us/politics/trump-mexico.html,Mexico and the U.S. Have Made Progress Toward Averting Tariffs,2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/world/europe/trump-d-day-speech.html,"Trump Honors D-Day Sacrifices, With Some Legacies Unspoken",2019/06/07,world
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/nyregion/stonewall-riots-nypd.html,"Stonewall Riot Apology: Police Actions Were ‘Wrong,’ Commissioner Admits",2019/06/07,nyregion
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/us/politics/joe-biden-hyde-amendment.html,"Joe Biden Denounces Hyde Amendment, Reversing His Position",2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/nyregion/west-point-accident.html,West Point Accident Kills Cadet and Injures 22 Others,2019/06/07,nyregion
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/07/us/school-racism-students.html,Few Talked About Race at This School. Then a Student Posted a Racist Slur.,2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/business/auto-industry-fiat-renault.html,The Car Industry Is Under Siege,2019/06/07,business
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/world/asia/hong-kong-gay-marriage-court.html,Gay Official Wins Court Battle for Spousal Benefits in Hong Kong,2019/06/07,world
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/world/africa/sudan-protests-military-crackdown.html,Sudan Pro-Democracy Groups Vow to Continue Protests After Deadly Crackdown,2019/06/07,world
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/us/politics/democrats-2020-donations-silicon-valley.html,"Democratic Candidates Woo Silicon Valley for Donations, Then Bash It",2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/us/scot-peterson-parkland-shooting.html,Scot Peterson Is Released on Bond. Here’s How He’s Explained His Actions During the Parkland Shooting.,2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/us/north-carolina-gerrymander-republican.html,"Deceased Strategist’s Files Detail Republican Gerrymandering in North Carolina, Advocates Say",2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/us/politics/tariffs-trade.html,"Tariff Threats Aside, the Senate Is Where Action Goes to Die",2019/06/07,us
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/obituaries/dr-john-dies.html,"Dr. John, of Voodoo Beads, Feathers and New Orleans Sound, Dies at 77",2019/06/07,obituaries
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/05/business/media/tariffs-retail-clothes-everlane.html,How China Tariffs Could Make Your Sweaters and Pants Cost More,2019/06/07,business
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/06/business/huawei-russia-5g.html,"Huawei, Shunned by U.S. Government, Is Welcomed in Russia",2019/06/07,business
https://www.nytimes.com/issue/todayspaper/2019/06/07/todays-new-york-times,/2019/06/07/sports/amanda-anisimova-french-open.html,"Amanda Anisimova, Playing Fearlessly, Nears an Early Breakthrough",2019/06/07,sports
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/us/politics/trump-tariffs-mexico.html,Trump Calls Off Plan to Impose Tariffs on Mexico,2019/06/08,us
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/business/economy/may-jobs-report-economy.html,A Weak Jobs Report Poses a New Challenge to Trump: A Slowing Economy,2019/06/08,business
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/08/us/politics/migrants-drown-rio-grande.html,Death on the Rio Grande: A Look at a Perilous Migrant Route,2019/06/08,us
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/us/saudi-arabia-arms-sales-raytheon.html,Trump Allows High-Tech U.S. Bomb Parts to Be Built in Saudi Arabia,2019/06/08,us
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/us/columbine-high-school-demolition.html,Columbine High School Could Be Torn Down to Deter Copycats,2019/06/08,us
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/health/drug-companies-antibiotics-resistance.html,Warning of ‘Pig Zero’: One Drugmaker’s Push to Sell More Antibiotics,2019/06/08,health
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/sports/womens-world-cup-france-korea.html,France Revels as It Opens the World Cup With a Victory,2019/06/08,sports
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/world/asia/hong-kong-china-extradition-protest.html,"Fearing China’s Rule, Hong Kong Residents Resist Extradition Plan",2019/06/08,world
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/world/asia/china-journalist-liu-wanyong.html,"For China’s Leading Investigative Reporter, Enough Is Enough",2019/06/08,world
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/sports/raptors-warriors-score.html,The Raptors Won Game 4 and Are 1 Win From an N.B.A. Championship,2019/06/08,sports
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/nyregion/times-square-plot-attack.html,"Times Square Terror Plot: Inspired by Bin Laden, Man Planned Bombing, Officials Say",2019/06/08,nyregion
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/science/space-station-nasa.html,Want to Buy a Ticket to the Space Station? NASA Says Soon You Can,2019/06/08,science
https://www.nytimes.com/issue/todayspaper/2019/06/08/todays-new-york-times,/2019/06/07/business/economy/age-discrimination-jobs-hiring.html,"New Evidence of Age Bias in Hiring, and a Push to Fight It",2019/06/08,business
